Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
APSRTC - 9401,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:00,15:50,07h 50m,3.9,INR 412,32 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3572,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),08:05,14:04,05h 59m,"4.0
82",INR 720,35 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3749,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:50,15:45,06h 55m,"3.8
4",INR 412,30 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 9357,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:15,16:50,07h 35m,"5.0
4",INR 412,27 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 40569,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:40,17:00,07h 20m,"3.7
21",INR 414,27 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3634,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:10,16:00,05h 50m,"4.2
76",INR 720,29 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3598,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:35,17:35,07h 00m,"3.2
32",INR 469,26 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 35086,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),11:15,17:00,05h 45m,"3.7
82",INR 633,44 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3580,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,18:00,05h 45m,"4.0
89",INR 633,40 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 24256,INDRA(A.C. Seater),12:30,18:00,05h 30m,"4.1
16",INR 528,33 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 9319,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,19:20,06h 20m,"3.5
25",INR 412,33 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 3576,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),13:15,19:30,06h 15m,"3.8
96",INR 633,41 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
APSRTC - 35154,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,20:20,06h 40m,"3.4
37",INR 412,28 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
